availability,brand,color,description,name,price,sku
InStock,H&M,White,"Tennis shirt in stretchy DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a collar, zip at the top, short sleeves and a ventilation hole under the arms. Straight-cut hem with a slit at each side.",DryMove™ Tennis shirt,1999.0,1138069001
InStock,H&M,Grey/Block-coloured,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a round neckline and short raglan sleeves. Sections in a contrasting colour and fabric.",DryMove™ Sports top,1499.0,1177449003
InStock,H&M,Green,"Slim-fit, V-neck T-shirt in soft cotton jersey.",Slim Fit V-neck T-shirt,699.0,0570003115
InStock,H&M,Dark turquoise marl,Short-sleeved top in fast-drying functional fabric designed to help keep you dry and cool while exercising. Round neckline and a rounded hem. Longer at the back for a better fit and increased mobility.,Loose Fit Sports top,1499.0,0948855048
InStock,H&M,Light brown,"Running top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with extra-long, raglan sleeves, reflective details at the back and cuffs, and a slit in each side of the hem. Slightly longer at the back.",Running top in DryMove™,1499.0,1025397011
InStock,H&M,Coral,"Short-sleeved sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Relaxed fit with a round neckline and dropped shoulders.",DryMove™ Sports top,1299.0,1145203006
InStock,H&M,White,Slim-fit T-shirts in soft jersey with a round neckline.,3-pack Slim Fit T-shirts,1999.0,0578630002
InStock,H&M,Black,"Sports top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a small stand-up collar, zip down the front and extra-long sleeves with a thumbhole at the cuffs. Reflective detail on the back.",DryMove™ Zip-through sports top,2299.0,1175023001
InStock,H&M,Black,"Regular-fit T-shirts in soft cotton jersey with a round, rib-trimmed neckline and a straight hem.",10-pack Regular Fit Round-neck T-shirts,4999.0,0975620020
InStock,H&M,Light green,"Sports vest top in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Muscle fit to create a flattering silhouette. Round neckline, laser-cut edges around the armholes and anti-chafe flatlock seams. Laser-cut holes at the back and a print motif on the chest.",DryMove™ Sports vest top,1499.0,1183727002
InStock,H&M,Black/White,Short-sleeved sports tops in fast-drying functional fabric with good air permeability to wick away moisture.,2-pack sports tops,1499.0,0816111031
InStock,H&M,Turquoise,Regular-fit T-shirt in soft pima cotton jersey. Round neckline with a finely-ribbed trim and a straight-cut hem.,Regular Fit Pima cotton T-shirt,1499.0,1101075015
InStock,H&M,White/Palm trees,"T-shirt in soft cotton jersey with an all-over print. Regular fit with a round, rib-trimmed neckline and straight-cut hem.",Regular Fit Cotton T-shirt,1299.0,1064816006
